Date;Récépissé;Remettant;Code agence entrée;Agence gestion;Agence sortie;Code produit;Destinataire;Pays;CP;Ville;N. UM;N. Palette;Poids;C.R.;Encaissement;Date encaissement;Solde;Paiement;Chèque paiement
19/12/2020;1013073900;408402 - AB LENS AGADIR;2;1;73;ECR;ULTIME OPTIQUE;MA;73000;DAKHLA;1;0;1.2;422.2;422.2;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
18/12/2020;1013073880;408402 - AB LENS AGADIR;2;1;26;ECR;CHAM S OPTIC;MA;82000;TAN TAN;1;0;1.2;546;546;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
18/12/2020;1013073888;408402 - AB LENS AGADIR;2;1;73;ECR;OPTIC BEN AMRANE;MA;73000;DAKHLA;1;0;1.2;316.4;316.4;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
18/12/2020;1013073885;408402 - AB LENS AGADIR;2;1;72;ECR;OPTIC NEGJIR;MA;70000;LAAYOUNE;1;0;1.2;320;320;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
18/12/2020;1013073881;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;1.2;723;723;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
17/12/2020;1013073866;408402 - AB LENS AGADIR;2;1;73;ECR;OPTIPRO;MA;73000;DAKHLA;1;0;1.2;324.5;324.5;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
17/12/2020;1013073875;408402 - AB LENS AGADIR;2;1;73;ECR;ULTIME OPTIC;MA;73000;DAKHLA;1;0;1.2;313.5;313.5;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
17/12/2020;1013073874;408402 - AB LENS AGADIR;2;1;73;ECR;BEN AMRANE;MA;73000;DAKHLA;1;0;1.2;391.7;391.7;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
17/12/2020;1013073870;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;1.2;958;958;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
16/12/2020;1013074000;408402 - AB LENS AGADIR;2;1;26;ECR;CHAM S OPTIC;MA;82000;TAN TAN;1;0;1.2;325.05;325.05;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
16/12/2020;1013073863;408402 - AB LENS AGADIR;2;1;73;ECR;ULTIME OPTIC;MA;73000;DAKHLA;1;0;1.2;1 176.50;1176.5;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
16/12/2020;1013073856;408402 - AB LENS AGADIR;2;1;73;ECR;OPTIC BENAMRANE;MA;73000;DAKHLA;1;0;1.2;467.6;467.6;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
15/12/2020;1013073986;408402 - AB LENS AGADIR;2;1;73;ECR;DAKHLA OPTIC;MA;73000;DAKHLA;1;0;1.2;294.5;294.5;19/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
10/12/2020;1012995381;408402 - AB LENS AGADIR;2;1;26;ECR;CHAM S OPTIC;MA;82000;TAN TAN;1;0;1.2;348;348;17/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
09/12/2020;1013073953;408402 - AB LENS AGADIR;2;1;26;ECR;CHAMS OPTIQUE;MA;82000;TAN TAN;1;0;1.2;1 402.80;1402.8;18/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
07/12/2020;1013073925;408402 - AB LENS AGADIR;2;1;26;ECR;CHAMS OPTIQUE;MA;82000;TAN TAN;1;0;1.2;1 864.00;1864;18/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
03/12/2020;1013073487;408402 - AB LENS AGADIR;2;1;26;ECR;CHAMS OPTIQUE;MA;82000;TAN TAN;1;0;1.2;672;672;16/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
27/11/2020;1010111455;600203 - OUTIPRO;1;1;73;ECR;LAFKIR AHMED;MA;73000;DAKHLA;2;0;20;5 292.50;5292.5;02/12/2020;05/01/2021;30/12/2020 // Réf: 224735;V20201903
21/12/2020;1013542224;900398 - AB LENS FES;13;1;10;ECR;RIAD OPTIQUE;MA;54350;MIDELT;1;0;1.2;1 021.00;1021;22/12/2020;05/01/2021;30/12/2020 // Réf: 224716;V20201900
15/12/2020;1013539211;900398 - AB LENS FES;13;1;10;ECR;RICHE  OPTIQUE;MA;52000;ERRACHIDIA;1;0;1.2;313.8;313.8;16/12/2020;05/01/2021;30/12/2020 // Réf: 224716;V20201900
14/12/2020;1012705122;900398 - AB LENS FES;13;1;48;ECR;BANGA OPTIQUE;MA;54450;M RIRT;1;0;1.2;546;546;15/12/2020;05/01/2021;30/12/2020 // Réf: 224716;V20201900
18/12/2020;1013166552;1216 - LABO NOVOPHARMA;1;1;15;ECC;PHIE ATTAOUIA;MA;43100;LAATTAOUIA;2;0;20;1 346.40;1346.4;24/12/2020;05/01/2021;30/12/2020 // Réf: 224717;V20201900
18/12/2020;1013166550;1216 - LABO NOVOPHARMA;1;1;1-299;ECC;PHIE AL KAWTAR;MA;28800;MOHAMMEDIA;2;0;20;1 346.40;1346.4;23/12/2020;05/01/2021;30/12/2020 // Réf: 224717;V20201900
04/12/2020;1013166045;1216 - LABO NOVOPHARMA;1;1;104;ECR;PH OULED BOUNOUNA;MA;83000;TAROUDANNT;4;0;40;6 501.63;6501.63;22/12/2020;05/01/2021;30/12/2020 // Réf: 224717;V20201900
03/12/2020;1013166035;1216 - LABO NOVOPHARMA;1;1;17;ECC;PH MAJID;MA;62000;NADOR;2;0;20;1 346.40;1346.4;24/12/2020;05/01/2021;30/12/2020 // Réf: 224717;V20201900
03/12/2020;1013166042;1216 - LABO NOVOPHARMA;1;1;10;ECC;PHIE JBEL AYACHI;MA;54350;MIDELT;5;0;50;3 501.41;3501.41;08/12/2020;05/01/2021;30/12/2020 // Réf: 224717;V20201900
03/12/2020;1013166037;1216 - LABO NOVOPHARMA;1;1;22;ECR;PHIE BAB CHAAFA;MA;11000;SALE;5;0;50;3 510.25;3510.25;23/12/2020;05/01/2021;30/12/2020 // Réf: 224717;V20201900
21/12/2020;1012688545;1536 - MULTI CHEMICAL INDUSTRY;1;1;21;ECR;DR LOUMARI;MA;65800;TAOURIRT;2;0;12;2 178.98;2178.98;23/12/2020;05/01/2021;30/12/2020 // Réf: 224718;V20201900
18/12/2020;1013313326;1536 - MULTI CHEMICAL INDUSTRY;1;1;78;ECR;CHERIF SALAHEDDINE;MA;24000;EL JADIDA;1;0;18;2 332.71;2332.71;22/12/2020;05/01/2021;30/12/2020 // Réf: 224718;V20201900
16/12/2020;1013313315;1536 - MULTI CHEMICAL INDUSTRY;1;1;48;ECR;DR ZAHIRI AZIZ;MA;54000;KHENIFRA;1;0;25;7 422.73;7422.73;23/12/2020;05/01/2021;30/12/2020 // Réf: 224718;V20201900
25/12/2020;1013399319;1551 - OPTIBEN;1;1;1-299;ECR;RANIA OP;MA;24150;LBIR JDID;1;0;2;435.6;435.6;28/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399313;1551 - OPTIBEN;1;1;78;ECR;NEVA OP;MA;24350;SIDI BENNOUR;1;0;2;400.04;400.04;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399316;1551 - OPTIBEN;1;1;78;ECR;AQUA VISION;MA;24350;SIDI BENNOUR;1;0;2;1 098.38;1098.38;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399308;1551 - OPTIBEN;1;1;18;ECR;OP SAHARA;MA;45000;OUARZAZATE;1;0;2;278.25;278.25;26/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399303;1551 - OPTIBEN;1;1;1-299;ECR;MANZAH OP;MA;13000;BENSLIMANE;1;0;2;280.06;280.06;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399304;1551 - OPTIBEN;1;1;18;ECR;IMAD OP;MA;45000;OUARZAZATE;1;0;2;839.68;839.68;26/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399306;1551 - OPTIBEN;1;1;18;ECR;CHEM'S OP;MA;45000;OUARZAZATE;1;0;2;597.48;597.48;26/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399314;1551 - OPTIBEN;1;1;35;ECR;LOUKILI OP;MA;63300;BERKANE;1;0;10;95.4;95.4;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399301;1551 - OPTIBEN;1;1;21;ECR;OP EL FETH;MA;65800;TAOURIRT;1;0;5;380.05;380.05;26/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
24/12/2020;1013399305;1551 - OPTIBEN;1;1;21;ECR;OP CHARQ;MA;65800;TAOURIRT;1;0;5;1 090.87;1090.87;26/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
23/12/2020;1013399837;1551 - OPTIBEN;1;1;18;ECR;CHEMS OPT;MA;45000;OUARZAZATE;1;0;2;317.79;317.79;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
23/12/2020;1013399836;1551 - OPTIBEN;1;1;78;ECR;NEVA OP;MA;24350;SIDI BENNOUR;1;0;2;760.06;760.06;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
23/12/2020;1013399835;1551 - OPTIBEN;1;1;18;ECR;OPT SAHARA;MA;45000;OUARZAZATE;1;0;2;320.83;320.83;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
23/12/2020;1013399841;1551 - OPTIBEN;1;1;35;ECR;LOUKILI OP;MA;63300;BERKANE;1;0;10;164.97;164.97;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
23/12/2020;1013399833;1551 - OPTIBEN;1;1;21;ECR;OP CHARQ;MA;65800;TAOURIRT;1;0;2;1 122.92;1122.92;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
23/12/2020;1013399834;1551 - OPTIBEN;1;1;21;ECR;OP EL FETH;MA;65800;TAOURIRT;1;0;10;198.4;198.4;25/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399830;1551 - OPTIBEN;1;1;21;ECR;OP CHARQ;MA;65800;TAOURIRT;1;0;5;454.81;454.81;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399827;1551 - OPTIBEN;1;1;21;ECR;OP EL FETH;MA;65800;TAOURIRT;1;0;5;714.7;714.7;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399832;1551 - OPTIBEN;1;1;1-299;ECR;OP EL JAZERA;MA;26202;DEROUA OULAD ZIANE;1;0;2;269.55;269.55;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399820;1551 - OPTIBEN;1;1;18;ECR;IMAD OP;MA;45000;OUARZAZATE;1;0;2;210.06;210.06;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399822;1551 - OPTIBEN;1;1;78;ECR;NEVA OP;MA;24350;SIDI BENNOUR;1;0;2;123.7;123.7;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399823;1551 - OPTIBEN;1;1;1-299;ECR;OP DAR BOUAZA;MA;27223;DAR BOUAZZA;1;0;2;69.3;69.3;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
22/12/2020;1013399826;1551 - OPTIBEN;1;1;18;ECR;CHEM S OP;MA;45000;OUARZAZATE;1;0;2;829.65;829.65;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399813;1551 - OPTIBEN;1;1;1-299;ECR;OP DAR BOUAZZA;MA;20000;CASABLANCA;1;0;2;242.9;242.9;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399814;1551 - OPTIBEN;1;1;18;ECR;IMAD OP;MA;45000;OUARZAZATE;1;0;2;590.08;590.08;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399818;1551 - OPTIBEN;1;1;8;ECR;CENTRE OPT;MA;32000;AL HOCEIMA;1;0;2;297.57;297.57;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399811;1551 - OPTIBEN;1;1;18;ECR;OP SAHARA;MA;45000;OUARZAZATE;1;0;2;644.74;644.74;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399815;1551 - OPTIBEN;1;1;1-299;ECR;OP SOUALEM;MA;26400;HAD SOUALEM;1;0;2;380.02;380.02;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399806;1551 - OPTIBEN;1;1;1-299;ECR;RANIA OP;MA;24150;LBIR JDID;1;0;2;380;380;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399809;1551 - OPTIBEN;1;1;83;ECR;BTISSAM OPT;MA;92000;LARACHE;1;0;2;731.55;731.55;22/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
21/12/2020;1013399817;1551 - OPTIBEN;1;1;21;ECR;OP CHARQ;MA;65800;TAOURIRT;1;0;5;646.92;646.92;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399892;1551 - OPTIBEN;1;1;21;ECR;OP CHARQ;MA;65800;TAOURIRT;1;0;5;994.2;994.2;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399802;1551 - OPTIBEN;1;1;21;ECR;OP EL FETH;MA;65800;TAOURIRT;1;0;5;405.67;405.67;23/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399900;1551 - OPTIBEN;1;1;59;ECR;YOUSSEF VISION;MA;25350;OUED ZEM;1;0;2;25.2;25.2;21/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399896;1551 - OPTIBEN;1;1;18;ECR;OUARZAZAT VISION;MA;45000;OUARZAZATE;1;0;2;789.98;789.98;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399895;1551 - OPTIBEN;1;1;83;ECR;BTISSAM OP;MA;92000;LARACHE;1;0;2;394.5;394.5;19/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399891;1551 - OPTIBEN;1;1;18;ECR;IMAD OP;MA;45000;OUARZAZATE;1;0;2;925.46;925.46;21/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
18/12/2020;1013399803;1551 - OPTIBEN;1;1;18;ECR;OP SAHARA;MA;45000;OUARZAZATE;1;0;2;191.52;191.52;22/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
17/12/2020;1013399881;1551 - OPTIBEN;1;1;68;ECR;OP AL QODS;MA;47900;ZAGORA;1;0;2;480.06;480.06;21/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
17/12/2020;1013399878;1551 - OPTIBEN;1;1;83;ECR;BTISSAM OP;MA;92000;LARACHE;1;0;2;104.22;104.22;18/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
17/12/2020;1013399882;1551 - OPTIBEN;1;1;18;ECR;OUARZAZAT VISION;MA;45000;OUARZAZATE;1;0;2;129.98;129.98;24/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
17/12/2020;1013399884;1551 - OPTIBEN;1;1;59;ECR;CHRONO OP;MA;25060;BEJAAD;1;0;2;280.06;280.06;19/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
16/12/2020;1013399868;1551 - OPTIBEN;1;1;83;ECR;BTISSAM OP;MA;92000;LARACHE;1;0;2;185;185;17/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
16/12/2020;1013399869;1551 - OPTIBEN;1;1;68;ECR;OP AL QODS;MA;47900;ZAGORA;1;0;2;235;235;21/12/2020;05/01/2021;30/12/2020 // Réf: 224703;V20201899
